order,frequency_hz,damping_ratio,label,stable
1,2.162176,0.039161,0,0
1,2.102482,0.104712,0,0
1,2.154817,0.008788,0,0
1,2.061583,0.013122,0,0
1,13.92858,0.020157,0,0
1,13.78554,0.0221,1,1
1,13.682628,0.029224,0,0
2,13.68551,0.030092,1,1
3,2.108207,0.019952,0,0
3,2.091037,0.021591,1,1
3,9.080723,0.004517,0,0
3,13.691072,0.023257,0,0
3,37.372359,0.041727,0,0
3,37.612495,0.036061,0,0
3,36.231116,0.03004,0,0
4,13.705774,0.025803,1,1
5,2.097913,0.021369,1,1
5,8.950598,0.014482,0,0
5,13.708022,0.026493,1,1
5,29.999037,0.074827,0,0
6,4.621657,0.119808,1,1
6,13.716531,0.027771,1,1
6,27.766417,0.06239,0,0
7,4.604336,0.112949,0,0
7,2.105372,0.020739,1,1
7,13.744796,0.033558,0,0
7,13.754455,0.033684,1,1
7,21.801718,0.124013,0,0
7,20.907737,0.10886,0,0
8,2.097753,0.021447,1,1
8,2.103068,0.020249,1,1
8,21.624762,0.127518,1,1
8,23.607829,0.029138,0,0
8,23.903657,0.029048,1,1
9,4.619848,0.098677,0,0
9,2.102957,0.020389,1,1
9,13.714282,0.027094,0,0
9,13.699283,0.028687,1,1
10,4.598811,0.115871,0,0
10,2.102208,0.019816,1,1
10,13.760733,0.029833,1,1
10,2.118466,0.019658,1,1
10,13.547727,0.029087,0,0
11,4.593412,0.124294,1,1
11,2.090182,0.020797,1,1
11,2.090438,0.020696,1,1
12,4.612391,0.12741,1,1
12,4.66725,0.098387,1,1
12,2.121128,0.019481,1,1
13,4.622751,0.124441,1,1
13,4.64547,0.13606,1,1
13,2.102112,0.020967,1,1
13,2.106067,0.020237,1,1
14,2.100225,0.021252,1,1
14,4.637299,0.062196,0,0
15,4.642765,0.095142,0,0
15,4.656004,0.101153,1,1
16,4.649952,0.109441,0,0
16,13.526892,0.023553,0,0
16,8.846641,0.035164,0,0
18,16.037953,0.179229,0,0
