timestamp,mode_active,mode_label,accel_rms_g,accel_peak_g,vel_rms_mm_s,disp_rms_mm,dominant_freq_hz,damping_ratio,temperature_c,humidity_pct,battery_v,sensor_health,anomaly_flag,event_marker,notes
2026-01-01 00:00:00,1,Idle / Ambient,0.00321,0.0074,0.1378,0.0865,1.83,0.0133,23.62,79.7,4.195,OK,0,NONE,
2026-01-01 00:01:00,1,Idle / Ambient,0.00313,0.00697,0.1319,0.0824,1.784,0.0132,24.0,81.2,4.195,OK,0,NONE,
2026-01-01 00:02:00,1,Idle / Ambient,0.00341,0.00717,0.1462,0.0862,1.832,0.0129,24.16,81.4,4.201,OK,0,NONE,
2026-01-01 00:03:00,1,Idle / Ambient,0.00311,0.00694,0.1323,0.0795,1.863,0.0178,24.18,81.4,4.2,OK,0,NONE,
2026-01-01 00:04:00,1,Idle / Ambient,0.00338,0.00689,0.1448,0.0832,1.822,0.0137,23.64,80.5,4.198,OK,0,NONE,
2026-01-01 00:05:00,1,Idle / Ambient,0.00313,0.00709,0.1331,0.0832,1.826,0.0176,23.77,78.7,4.198,OK,0,NONE,
2026-01-01 00:06:00,1,Idle / Ambient,0.00331,0.00783,0.1389,0.0858,1.867,0.0161,24.11,79.3,4.197,OK,0,NONE,
2026-01-01 00:07:00,1,Idle / Ambient,0.00314,0.00671,0.1355,0.0759,1.915,0.0139,24.36,79.1,4.197,OK,0,NONE,
2026-01-01 00:08:00,1,Idle / Ambient,0.00309,0.00628,0.1355,0.0769,1.876,0.0174,23.81,78.4,4.194,OK,0,NONE,
2026-01-01 00:09:00,1,Idle / Ambient,0.00339,0.00722,0.1475,0.0761,1.905,0.0145,24.11,81.9,4.202,OK,0,NONE,
2026-01-01 00:10:00,5,Traffic Influence,0.03745,0.12301,2.2954,0.4992,5.086,0.0252,24.18,79.8,4.203,OK,0,NONE,
2026-01-01 00:11:00,1,Idle / Ambient,0.00337,0.00816,0.1396,0.0799,1.863,0.0131,23.82,80.4,4.195,OK,0,NONE,
2026-01-01 00:12:00,1,Idle / Ambient,0.00345,0.00723,0.1495,0.0834,1.904,0.0152,24.04,81.5,4.202,OK,0,NONE,
2026-01-01 00:13:00,1,Idle / Ambient,0.00337,0.00739,0.1451,0.0794,1.926,0.0177,23.65,81.0,4.195,OK,0,NONE,
2026-01-01 00:14:00,1,Idle / Ambient,0.00307,0.00622,0.1237,0.0834,1.822,0.0172,24.05,78.8,4.196,OK,0,NONE,
2026-01-01 00:15:00,1,Idle / Ambient,0.00334,0.0068,0.1375,0.0796,1.848,0.0151,24.13,78.9,4.195,OK,0,NONE,
2026-01-01 00:16:00,5,Traffic Influence,0.03878,0.11411,2.3208,0.5187,5.015,0.0274,24.11,78.8,4.194,OK,0,NONE,
2026-01-01 00:17:00,1,Idle / Ambient,0.00328,0.00661,0.1409,0.0789,1.855,0.0167,24.07,79.7,4.198,OK,0,NONE,
2026-01-01 00:18:00,1,Idle / Ambient,0.00309,0.0065,0.1323,0.0789,1.935,0.0126,24.15,78.7,4.197,OK,0,NONE,
2026-01-01 00:19:00,1,Idle / Ambient,0.00305,0.00737,0.1232,0.0876,1.822,0.0175,23.84,81.9,4.201,OK,0,NONE,
2026-01-01 00:20:00,1,Idle / Ambient,0.00301,0.00611,0.1228,0.0834,1.91,0.013,24.36,79.5,4.202,OK,0,NONE,
